,name,cmp,p/e,mar_cap,div_yld_%,np_qtr,qtr_profit_%,sales_qtr,qtr_saeles_%,roce_%,pat_ann
487,Metropolis Healt,1957.5,78.44,10028.03,0.41,36.53,9.14,331.0,17.15,15.45,127.82
488,Mahindra Life.,639.8,100.99,9917.55,0.42,71.48,13386.79,14.29,-94.4,2.56,98.24
489,JK Lakshmi Cem.,838.0,21.19,9866.12,0.44,162.06,42.7,1780.85,-4.36,17.2,466.09
490,Kirl. Ferrous,706.8,36.26,9852.97,0.76,17.73,-67.1,1535.92,-1.89,15.1,271.39
491,Route Mobile,1563.05,27.16,9814.16,0.71,95.16,-14.73,1017.03,0.83,20.61,361.58
492,Arvind Ltd,374.0,29.19,9785.01,0.98,104.42,16.43,2074.51,10.3,12.41,334.94
493,Guj Pipavav Port,202.25,25.7,9777.65,2.99,65.84,-5.26,251.28,7.05,22.66,379.82
494,Ujjivan Small,50.5,7.55,9755.49,2.48,329.63,6.5,1528.51,29.01,12.26,1281.5
495,Bengal & Assam,8598.0,6.22,9712.58,0.29,316.51,11.19,522.94,-87.26,20.62,1560.31
496,Astra Microwave,1022.5,80.18,9708.12,0.17,54.4,302.37,353.96,36.96,18.73,121.07
497,Esab India,6271.0,59.21,9651.17,1.24,44.25,5.71,340.93,13.01,76.67,162.98
498,Sapphire Foods,1511.75,185.33,9630.47,0.0,2.04,-98.49,631.7,12.72,7.24,51.96
499,R C F,173.35,49.1,9563.45,3.03,95.24,0.3,3879.65,-17.17,6.19,195.12
500,PCBL Ltd,252.7,19.45,9542.29,2.19,110.95,8.59,1928.78,40.4,14.16,490.94
501,Elantas Beck,12000.0,66.05,9516.02,0.04,36.91,22.83,176.58,4.21,27.67,137.21
502,Home First Finan,1068.2,31.05,9497.39,0.32,83.47,30.36,312.76,37.88,11.25,305.72
503,ISGEC Heavy,1281.05,38.66,9419.49,0.26,72.06,-17.22,1867.96,-8.56,11.84,243.67
504,Genus Power,309.2,124.94,9392.04,0.23,31.37,151.56,420.12,107.65,9.74,75.17
505,National Standar,4673.75,634.16,9347.5,0.0,4.22,56.3,5.59,-40.72,7.92,14.74
506,G S F C,233.75,16.52,9321.1,4.31,24.42,-89.14,1965.25,-17.56,5.77,563.78
507,Galaxy Surfact.,2625.0,30.87,9306.86,0.82,77.5,-14.39,929.0,-5.17,17.39,301.47
508,SBFC Finance,86.44,39.16,9281.57,0.0,73.43,71.73,278.81,34.33,10.93,237.14
509,Mah. Scooters,8085.25,46.36,9241.79,2.11,0.1,-87.8,5.18,-43.94,0.88,199.31
510,Mah. Seamless,689.0,9.68,9232.02,0.73,218.28,-41.01,1214.9,-25.6,22.91,951.32
511,Electronics Mart,239.6,50.16,9218.57,0.0,40.56,12.29,1524.23,14.79,12.74,183.98
512,Quess Corp,619.15,30.6,9194.98,1.25,97.84,230.42,4909.75,10.57,11.66,300.04
513,Rategain Travel,778.35,63.08,9172.74,0.0,50.02,48.03,255.81,39.84,17.34,145.39
514,Strides Pharma,993.0,3809.67,9127.34,0.15,10.45,165.34,1084.04,9.9,7.91,2.4
515,Infibeam Avenues,32.54,57.98,9052.65,0.16,49.24,28.13,726.85,11.37,6.25,155.95
516,L T Foods,260.35,15.19,9040.76,0.19,150.24,16.05,2074.81,13.91,21.13,593.35
517,Sandur Manganese,548.25,37.31,8883.65,0.15,162.23,-6.75,551.77,-9.21,15.54,238.01
518,Star Cement,219.65,30.13,8877.82,0.0,87.67,-8.79,913.53,10.18,16.43,295.11
519,Gravita India,1281.15,36.96,8844.81,0.41,69.42,8.1,863.41,15.29,27.55,239.19
520,Keystone Realtor,700.0,79.44,8820.67,0.0,30.47,-58.85,811.56,135.66,6.58,111.03
521,JK Paper,517.95,7.8,8774.22,1.53,278.6,-1.65,1718.61,-0.05,21.22,1121.77
522,Powergrid Infra.,96.05,8.56,8740.54,,253.61,75.11,231.63,-7.11,12.83,1022.99
523,Mahindra Holiday,431.75,75.53,8719.26,0.0,83.21,46.26,800.19,12.45,9.27,115.52
524,Ganesh Housing,1044.05,18.84,8706.0,0.23,112.8,186.15,276.78,54.37,45.22,460.71
525,Avanti Feeds,637.55,24.32,8686.33,0.92,112.6,7.52,1283.51,17.43,21.16,357.14
526,Anupam Rasayan,788.6,67.28,8657.7,0.32,40.47,-45.47,401.01,-16.45,9.04,128.6
527,Balrampur Chini,429.05,16.19,8656.06,0.7,203.39,-20.07,1434.26,-3.84,16.22,534.47
528,Mishra Dhatu Nig,461.1,94.7,8638.2,0.71,46.38,-29.84,405.5,17.68,9.39,91.26
529,Shriram Pistons,1959.65,19.69,8632.22,0.26,116.46,28.03,855.56,22.05,28.28,438.66
530,Campus Activewe.,282.7,96.52,8631.03,0.0,32.75,42.76,363.86,4.63,16.69,89.44
531,Just Dial,1013.7,61.82,8620.47,0.0,115.74,38.44,270.27,16.23,4.81,139.49
532,Texmaco Rail,214.0,75.92,8548.58,0.07,46.99,168.05,1144.56,37.03,11.43,112.69
533,ITD Cem,494.1,30.99,8487.98,0.16,89.55,137.68,2257.72,38.39,27.47,273.73
534,Rajesh Exports,287.4,25.32,8485.67,0.0,-31.57,-108.63,91444.97,-20.79,3.23,335.53
535,Symphony,1229.05,56.7,8475.14,0.4,48.0,200.0,332.0,7.79,19.01,149.47
536,HEG,2192.95,27.18,8467.84,1.94,32.91,-67.0,546.9,-11.34,8.56,311.67
537,Eureka Forbes,437.2,82.95,8455.06,0.0,21.37,47.66,553.07,8.84,3.48,101.91
538,Mrs Bectors,1437.05,60.2,8452.32,0.21,33.62,21.59,406.39,17.43,25.34,140.36
539,Kirl.Pneumatic,1303.9,60.57,8445.71,0.47,60.23,105.61,489.96,36.26,21.64,139.53
540,Triven.Engg.Ind.,385.45,21.38,8437.45,0.84,161.04,-15.38,1302.13,-17.72,14.78,395.16
541,Medplus Health,705.45,128.79,8432.7,0.0,33.57,25.75,1490.5,18.96,6.83,65.47
542,Karnataka Bank,223.35,6.41,8428.68,2.19,274.24,-22.48,2200.56,11.74,6.76,1306.28
543,Garware Tech.,4124.1,40.44,8422.37,0.08,69.56,16.57,382.27,3.18,23.05,208.19
544,Syrma SGS Tech.,471.05,77.31,8365.17,0.32,45.21,-17.44,1134.09,66.89,9.74,108.2
545,P & G Health Ltd,5034.35,39.08,8357.05,1.91,46.56,-21.34,252.48,-21.33,45.47,228.96
546,Responsive Ind,313.25,51.83,8351.53,0.03,45.87,101.72,288.19,21.52,14.73,161.27
547,Neuland Labs.,6500.0,27.77,8339.43,0.22,67.56,-20.09,385.01,-5.42,33.23,300.08
548,Mastek,2683.85,27.26,8280.21,0.71,94.41,26.86,779.73,9.95,18.13,303.49
549,Sunteck Realty,563.0,116.28,8247.15,0.26,101.34,462.71,426.89,773.52,4.69,70.93
550,CCL Products,614.95,32.87,8211.26,0.93,65.22,-23.53,726.72,39.73,12.42,250.08
551,Jubilant Ingrev.,514.85,44.85,8200.6,0.97,29.25,-44.08,1074.44,-6.16,9.78,182.89
552,Sarda Energy,231.9,15.63,8171.74,0.31,87.99,-22.81,889.25,-17.38,15.54,525.22
553,Power Mech Proj.,5122.0,32.56,8096.98,0.04,84.41,13.18,1301.53,10.85,23.88,248.3
554,Archean Chemical,655.6,26.46,8089.9,0.45,59.64,-56.41,283.39,-25.89,25.75,305.24
555,Vijaya Diagnost.,786.15,67.02,8065.79,0.14,33.68,21.68,155.21,28.28,21.56,120.37
556,Ahluwalia Contr.,1201.35,34.63,8047.51,0.03,199.8,-19.82,1163.66,34.83,23.91,232.13
557,JM Financial,84.2,121.72,8046.1,2.34,-674.1,-26.62,1260.7,49.09,10.14,66.1
558,Gallantt Ispat L,333.25,35.68,8040.73,0.0,95.39,40.44,1177.39,7.58,11.96,225.34
559,Jupiter Life Lin,1225.0,52.83,8031.85,0.0,43.15,47.79,245.31,16.55,22.16,151.95
560,Kennametal India,3648.5,89.46,8018.79,0.88,38.3,85.19,268.8,5.12,17.38,86.49
561,Shoppers Stop,728.7,97.64,8012.9,0.0,23.18,71.18,1046.34,13.25,11.87,82.05
562,Senco Gold,1029.0,42.39,7995.79,0.1,36.83,38.25,1129.93,39.02,13.35,188.75
563,Lloyds Engineeri,69.82,100.15,7991.96,0.14,21.13,229.13,187.9,8.08,28.72,79.84
564,Kama Holdings,2478.65,9.09,7954.14,1.42,622.71,42.73,3795.53,0.72,13.59,873.74
565,Greenlam Industr,622.0,57.52,7935.1,0.26,40.79,-11.52,624.09,16.91,12.12,138.0
566,PG Electroplast,3022.0,58.49,7886.84,0.0,69.55,73.14,1076.57,29.98,18.66,134.9
567,Deepak Fertiliz.,619.35,17.67,7815.2,1.61,219.63,-15.73,2086.28,-25.37,11.64,442.51
568,INDIA SHELTE FIN,725.8,31.46,7769.83,0.0,77.75,46.95,234.49,38.37,12.23,246.96
569,Aurionpro Sol.,2804.55,54.86,7742.42,0.05,39.47,53.43,246.87,29.48,22.31,140.97
570,ION Exchange,525.4,39.39,7705.97,0.24,72.45,-10.76,781.81,20.75,27.18,195.36
571,Easy Trip Plann.,43.42,50.66,7694.18,0.25,-15.08,84.7,164.04,40.69,40.14,152.05
572,JSW Holdings,6910.0,49.31,7670.09,0.0,33.29,-19.71,26.99,10.39,0.7,155.56
573,CMS Info Systems,468.4,21.97,7623.79,1.19,91.42,14.38,627.08,25.06,26.19,347.14
574,Prudent Corp.,1837.75,54.82,7609.49,0.08,44.57,8.1,239.7,35.45,43.27,138.75
575,Religare Enterp.,229.45,66.99,7572.14,0.0,180.96,-98.77,1855.69,32.92,8.71,113.07
576,Prince Pipes,680.5,44.57,7523.66,0.0,54.65,-41.94,740.13,-3.18,14.99,169.08
577,FDC,459.6,24.54,7482.72,0.0,46.28,50.95,462.03,6.26,19.39,305.06
578,Jana Small Finan,714.7,11.19,7475.11,0.0,321.68,297.14,1111.08,30.94,8.61,669.54
579,T N Merc. Bank,469.9,6.97,7440.92,1.07,253.06,0.0,1253.71,17.16,7.41,1072.03
580,Choice Intl.,372.05,57.59,7417.89,0.0,39.39,27.26,214.55,56.33,24.8,128.86
581,Man Infra,198.75,24.56,7378.62,0.79,64.65,-20.75,296.74,-56.38,28.84,300.39
582,Indo Count Inds.,372.5,21.81,7377.51,0.52,91.94,-2.93,1093.26,35.46,18.21,337.93
583,Jindal Worldwide,367.75,97.48,7374.15,0.05,28.17,6.18,573.79,4.43,9.83,75.65
584,eMudhra,883.8,97.17,7318.92,0.14,21.21,32.91,99.69,29.79,17.66,75.35
585,Balaji Amines,2249.5,35.58,7288.59,0.46,72.48,43.49,413.94,-12.19,16.79,204.85
586,South Ind.Bank,27.69,6.76,7243.87,1.08,287.56,-13.88,2274.67,15.29,6.47,1070.08
587,Marksans Pharma,159.75,23.06,7239.34,0.31,77.64,-5.24,560.01,15.23,20.61,313.7
588,Dilip Buildcon,491.85,104.72,7191.55,0.02,2.66,130.96,3365.62,18.46,10.66,68.69
589,Suprajit Engg.,518.9,42.96,7184.69,0.45,59.15,44.23,783.12,12.03,13.91,167.27
590,Piccadily Agro,760.95,81.86,7178.75,0.03,43.34,818.22,268.89,34.55,29.59,87.6
591,Dhanuka Agritech,1575.0,30.12,7178.55,0.86,59.02,-9.62,368.31,-0.79,27.07,239.09
592,Transport Corp.,914.3,20.14,7108.16,0.83,103.3,23.47,1078.9,10.17,19.92,352.94
593,Va Tech Wabag,1130.05,28.66,7027.83,0.0,78.1,-44.49,934.2,0.79,20.54,245.6
594,Magellanic Cloud,600.85,68.32,7022.72,0.02,39.43,116.1,137.21,19.64,27.43,102.81
595,PDS,531.75,48.74,7021.84,0.87,65.39,-19.09,3215.18,17.27,16.43,144.23
596,ASK Automotive,354.65,40.18,6991.64,0.0,47.76,111.89,782.51,37.61,24.23,173.77
597,KRBL,303.8,11.67,6953.69,0.32,114.08,-3.31,1318.3,2.97,15.85,595.86
598,Laxmi Organic,249.0,57.12,6883.6,0.25,44.31,82.57,792.06,8.43,9.44,120.54
599,Jai Corp,384.95,129.94,6869.38,0.13,23.47,228.35,122.74,-1.64,4.5,52.87
600,Rolex Rings,2507.9,38.11,6829.86,0.0,23.62,-10.26,316.34,5.63,28.08,179.06
601,I T D C,795.5,95.77,6822.92,0.27,15.71,63.61,147.88,-3.82,31.27,71.27
602,Time Technoplast,300.65,22.01,6822.57,0.41,94.26,45.27,1394.32,16.94,15.98,310.44
603,Blue Jet Health,393.0,39.82,6817.17,0.0,39.65,-21.79,183.95,-15.34,30.0,171.0
604,NESCO,959.25,18.6,6758.88,0.62,105.12,23.8,188.97,20.18,22.39,362.78
605,J Kumar Infra,892.5,20.49,6753.17,0.38,99.68,34.94,1424.97,25.64,18.44,328.59
606,V I P Inds.,475.0,124.25,6746.52,0.95,-23.88,-160.23,516.32,14.59,10.35,54.3
607,Surya Roshni,615.9,20.42,6702.07,0.96,103.88,-33.21,2080.38,-3.29,21.02,328.86
608,IIFL Securities,216.4,12.96,6667.86,1.32,180.56,108.33,686.43,70.8,34.77,512.34
609,Nazara Technolo.,870.0,98.33,6659.15,0.0,0.18,422.82,266.21,-7.99,5.93,67.7
610,Paisalo Digital,73.99,37.13,6644.58,0.07,36.61,54.6,195.29,65.51,14.06,178.63
611,Edelweiss.Fin.,70.0,15.68,6606.53,2.16,203.08,13.26,2967.3,-1.5,11.5,420.69
612,Ethos Ltd,2678.1,78.69,6556.09,0.0,21.03,58.36,252.52,21.66,14.3,83.29
613,Guj. Ambuja Exp,141.85,18.82,6506.23,0.24,91.4,31.42,1346.44,-5.74,16.54,345.92
614,VST Industries,4198.9,21.54,6483.11,3.61,88.2,28.38,375.06,24.3,32.46,301.57
615,IFB Industries,1599.55,94.08,6481.36,0.0,13.86,283.58,1055.33,7.14,12.48,68.88
616,Indigo Paints,1360.6,43.58,6479.3,0.25,53.52,9.94,366.14,12.5,23.25,148.65
617,Sansera Enginee.,1206.15,34.82,6466.83,0.2,46.46,31.08,745.85,20.57,15.72,185.76
618,Welspun Enterp,465.15,19.99,6438.32,0.64,77.67,-27.61,821.11,-2.84,18.45,322.29
619,Technocraf.Inds.,2800.0,23.76,6429.26,0.0,57.37,23.61,592.55,23.32,18.74,270.92
620,SIS,446.0,34.28,6428.16,0.0,-11.67,-112.53,3137.63,4.74,10.34,187.48
621,Ashoka Buildcon,228.0,14.49,6400.51,0.0,254.31,391.98,3051.87,24.65,35.27,441.25
622,Arvind Fashions.,480.1,94.6,6394.16,0.2,39.67,100.63,1093.85,3.66,13.38,67.59
623,MSTC,907.8,31.25,6390.95,1.6,48.45,-37.04,199.07,1.29,34.66,204.37
624,Allcargo Logist.,64.46,49.22,6335.02,1.24,-12.47,-110.91,3398.33,0.1,3.15,128.92
625,Rallis India,324.8,42.74,6316.31,0.79,-21.0,69.57,436.0,-16.63,11.2,147.73
626,Dodla Dairy,1051.65,38.34,6256.59,0.0,46.83,107.86,787.45,8.72,22.08,163.39
627,Paradeep Phosph.,76.34,62.24,6220.04,0.67,21.5,115.43,2242.74,-38.45,6.44,99.91
628,PTC India,210.0,14.07,6216.21,3.64,96.17,-19.08,3507.39,-1.84,9.64,440.51
629,Sundaram Fin.Hol,279.6,11.65,6210.0,2.0,269.32,173.09,217.62,523.91,5.85,533.14
630,EPL Ltd,194.3,24.22,6194.36,2.18,15.1,-38.32,1029.2,6.18,15.1,255.92
631,Kirloskar Indus.,6226.1,28.99,6186.82,0.17,70.73,73.61,1728.6,9.81,10.68,213.4
632,Pricol Ltd,506.1,43.87,6168.49,0.0,41.5,39.26,584.16,11.59,23.83,140.61
633,GMM Pfaudler,1361.8,35.15,6122.28,0.15,28.71,36.2,740.73,-14.46,19.09,174.1
634,Gabriel India,425.4,32.93,6110.53,0.62,52.71,56.13,858.63,16.51,26.89,185.16
635,India Infr Trust,92.0,11.68,6108.8,,133.07,,1378.37,,8.3,522.86
636,TD Power Systems,389.5,51.39,6082.81,0.14,29.03,-15.44,263.89,5.62,24.82,118.35
637,Patel Engineerin,71.68,27.37,6052.49,0.0,140.34,31.3,1343.18,11.46,13.89,221.67
638,CSB Bank,347.9,10.65,6035.62,0.0,151.46,-3.12,794.87,24.88,7.77,566.82
639,NIIT Learning,443.75,27.71,6007.82,0.55,54.44,-3.06,397.91,3.17,33.35,216.96
640,Share India Sec.,1524.0,14.08,5987.01,0.56,115.75,8.76,465.37,36.58,38.34,426.06
641,Gokaldas Exports,840.0,45.68,5978.65,0.12,44.28,-6.17,812.42,55.34,12.45,130.97
642,Natl.Fertilizer,120.3,39.31,5901.7,2.33,207.68,188.02,5284.24,-15.55,6.69,150.05
643,MTAR Technologie,1914.55,104.68,5889.07,0.0,5.07,-83.51,142.94,-27.19,11.7,56.27
644,Utkarsh Small F.,53.23,11.78,5855.78,0.0,159.66,19.33,895.62,29.59,10.81,497.63
645,Go Fashion (I),1082.25,70.6,5845.09,0.0,13.05,-11.71,181.74,15.32,15.45,82.78
646,R Systems Intl.,492.45,44.18,5825.86,1.37,27.49,-23.3,416.64,3.11,26.08,140.42
647,Aarti Pharma,642.75,26.79,5824.96,0.33,65.25,52.2,505.77,4.27,16.65,216.9
648,Sudarshan Chem.,832.0,48.67,5759.72,0.44,58.03,78.17,764.25,10.57,11.75,118.08
649,Hindustan Foods,500.55,61.73,5734.96,0.0,22.94,13.4,730.96,10.8,15.37,93.02
650,Tips Industries,443.9,44.88,5700.81,1.4,25.76,40.53,63.26,21.61,106.57,127.17
651,Shakti Pumps,2845.2,40.23,5700.39,0.07,89.66,3884.89,609.28,233.56,31.44,141.71
652,Bharat Bijlee,5038.4,43.32,5694.97,0.4,48.53,80.68,587.47,36.69,10.56,131.44
653,D B Corp,318.05,13.35,5666.32,4.06,122.53,198.64,617.14,16.23,25.43,425.52
654,Diamond Power,1070.4,325.49,5640.7,0.0,14.42,188.99,134.41,852.59,,17.33
655,Cyient DLM,705.5,91.39,5595.12,0.0,22.74,80.62,361.84,30.46,14.08,61.2
656,Epigral,1346.0,28.54,5592.64,0.37,76.67,-0.17,524.63,-6.68,17.03,195.79
657,Bondada Engineer,2558.6,123.55,5527.1,0.0,31.44,,505.0,,42.32,44.73
658,Heritage Foods,591.9,51.52,5492.62,0.43,40.5,125.88,950.57,16.26,16.84,106.55
659,Vaibhav Global,330.45,41.41,5473.9,1.81,21.06,2.06,789.37,13.95,14.04,132.27
660,Spandana Sphoort,766.3,11.69,5464.15,0.0,122.2,5.15,637.41,34.1,14.14,467.88
661,ICRA,5659.65,36.12,5462.23,1.78,47.06,22.15,123.96,13.64,21.44,151.09
662,Orchid Pharma,1070.0,58.89,5426.93,0.0,32.96,23.45,217.1,3.43,9.32,92.17
663,Paras Defence,1388.7,180.39,5415.96,0.0,9.6,-10.78,79.69,22.41,9.8,30.03
664,Health.Global,386.25,136.54,5380.08,0.0,23.46,230.57,494.63,11.98,8.83,39.4
665,Sharda Motor,1804.0,18.17,5363.59,0.94,85.72,41.57,703.39,2.21,42.77,294.9
666,Dynamatic Tech.,7858.7,81.06,5337.16,0.13,57.11,-10.88,370.41,0.69,10.66,65.85
667,Orient Electric,246.85,85.43,5266.95,0.61,12.8,-48.01,787.66,19.72,14.08,61.66
668,Shilpa Medicare,534.1,169.25,5222.97,0.0,24.5,359.45,291.69,10.67,5.27,30.85
669,Insolation Ener,2500.1,93.84,5208.19,0.0,40.44,,458.77,,63.82,55.47
670,Gateway Distri,103.46,21.08,5169.28,1.95,51.55,-22.05,366.08,-0.43,12.53,245.36
671,SG Mart,462.0,84.44,5153.15,0.0,33.65,25984.62,1277.54,,14.52,61.04
672,Wonderla Holiday,910.75,32.61,5152.45,0.28,22.61,-35.49,99.69,1.11,20.61,157.96
673,Jamna Auto Inds.,128.7,25.0,5134.42,1.52,54.77,4.34,640.15,0.99,30.42,205.41
674,Tilaknagar Inds.,265.5,36.35,5118.93,0.09,31.45,20.89,358.78,0.37,22.28,140.95
675,Jain Irrigation,75.38,56.1,5106.06,0.0,-10.68,132.03,1726.57,-1.08,5.81,91.01
676,Oriana Power Ltd,2652.45,93.79,5088.1,0.0,48.55,,318.82,,79.39,54.24
677,MAS FINANC SER,305.05,19.95,5002.38,0.4,70.1,23.28,345.75,24.15,11.66,251.05
678,VRL Logistics,571.6,56.34,4999.72,0.87,21.54,-64.68,768.4,10.06,10.79,88.7
679,Aditya Vision,3890.0,64.73,4986.51,0.2,7.85,15.78,375.67,22.66,21.39,77.07
680,Bharat Rasayan,12000.0,61.1,4986.31,0.01,55.91,57.66,309.62,1.22,11.28,81.61
681,Harsha Engg Intl,546.7,39.2,4977.36,0.18,37.59,2.15,297.53,20.1,13.58,126.91
682,GHCL,519.5,8.3,4972.84,2.32,124.86,-50.21,823.38,-26.47,20.63,598.75
683,Gulf Oil Lubric.,1010.5,16.19,4971.25,2.45,85.43,37.41,852.82,7.67,,308.1
684,Privi Speci.,1269.7,50.71,4959.8,0.16,34.34,388.33,475.61,17.34,12.32,97.88
685,Heidelberg Cem.,218.3,29.47,4947.01,3.18,48.16,37.72,596.55,-0.91,16.1,167.75
686,JTEKT India,194.15,48.65,4936.84,0.26,34.3,31.02,632.08,19.22,17.34,101.47
687,Protean eGov,1218.25,50.64,4927.43,0.0,19.29,-38.98,222.08,-4.27,14.3,97.29
688,Ami Organics,1303.25,82.57,4910.62,0.22,25.68,-6.71,224.96,20.7,16.02,59.52
689,Orient Cement,239.0,28.05,4896.34,0.95,68.2,1.22,888.03,1.37,16.12,174.85
690,Kaveri Seed Co.,948.3,16.35,4877.96,0.53,-0.4,98.26,98.35,33.48,24.66,298.74
691,Fusion Microfin.,484.35,9.7,4874.04,0.0,132.69,15.87,645.99,28.97,14.14,505.29
692,Sanghvi Movers,1121.6,25.87,4856.59,0.35,47.74,40.7,165.44,30.44,23.82,187.94
693,Team Lease Serv.,2868.0,44.15,4809.29,0.0,28.13,6.12,2431.97,19.96,13.55,108.88
694,Aarti Drugs,521.8,28.0,4797.13,0.19,47.31,-15.65,619.99,-16.49,14.75,171.42
695,Bharat Hig.InvIT,106.1,317.32,4699.58,,,,,,,14.81
696,West Coast Paper,707.0,6.74,4669.78,1.4,130.43,-58.35,1070.1,-21.17,29.19,692.01
697,Kovai Medical,4245.85,25.86,4644.94,0.12,52.18,70.75,321.12,20.28,22.27,179.73
698,Balmer Lawrie,271.5,18.04,4642.69,2.73,73.35,69.44,576.69,-5.16,15.63,257.4
699,Garware Hi Tech,1997.4,22.84,4640.46,0.49,57.81,34.22,446.58,27.96,13.89,203.29
700,NOCIL,276.4,34.53,4606.15,1.07,41.54,46.68,356.5,-9.22,11.1,133.0
701,Entero Healthcar,1047.4,116.52,4555.52,0.0,21.18,663.71,1034.18,16.57,5.5,39.11
702,TCI Express,1182.75,34.42,4534.92,0.67,31.59,-17.84,317.11,-2.8,26.62,131.69
703,JNK,814.5,72.3,4530.37,0.0,16.65,56.19,226.85,111.22,46.3,62.65
704,Jayaswal Neco,46.6,20.22,4524.85,0.0,2.03,160.11,1411.43,-3.94,14.24,223.59
705,Fedbank Financi.,121.65,18.34,4498.17,0.0,67.66,35.4,407.58,20.61,10.48,244.7
706,Black Box,266.2,26.16,4474.18,0.0,40.9,14.83,1480.35,-11.98,30.43,171.48
707,Avantel,183.45,80.49,4462.84,0.11,13.08,24.1,41.71,-20.37,47.5,55.45
708,AGI Greenpac,689.7,17.73,4462.16,0.7,64.58,-32.62,624.87,-8.15,17.91,251.33
709,Kewal Kir.Cloth.,709.6,28.29,4372.89,0.71,37.59,18.99,219.42,10.0,31.16,154.53
710,Pilani Invest.,3942.7,26.22,4365.45,0.4,31.44,-58.12,63.27,16.89,2.01,166.46
711,Banco Products,609.65,16.08,4360.12,3.61,68.16,33.57,723.87,18.8,26.55,271.4
712,DCB Bank,138.9,8.08,4345.51,0.91,155.68,9.47,1444.6,22.5,7.52,535.86
713,Lux Industries,1444.9,34.57,4345.05,0.35,55.09,84.62,707.55,-1.3,11.09,125.6
714,Lloyds Enterpris,34.07,70.83,4334.17,0.28,45.65,-31.09,333.7,38.16,6.77,61.22
715,Sula Vineyards,509.85,45.42,4302.42,1.66,13.63,-17.64,117.49,6.33,18.64,94.51
716,Advanced Enzyme,381.3,29.74,4263.84,1.03,29.87,8.23,157.82,13.78,15.05,143.63
717,Inox Green,145.0,142.93,4257.29,0.0,20.6,2715.09,52.43,-7.69,3.62,29.79
718,Subros,649.6,43.44,4237.69,0.16,30.43,66.47,831.51,11.15,16.5,97.61
719,Manorama Indust.,710.0,105.5,4231.54,0.06,12.5,25.0,129.33,27.12,13.38,40.11
720,Le Travenues,161.99,139.89,4226.29,,,,,,8.27,30.2
721,Venus Pipes,2081.0,49.14,4223.61,0.05,25.04,86.45,224.1,27.13,28.45,85.98
722,Rossari Biotech,763.8,32.31,4219.84,0.06,34.13,17.77,472.72,16.3,18.28,130.69
723,Hawkins Cookers,7966.1,38.38,4214.0,1.49,34.13,49.69,276.76,9.03,44.52,109.84
724,Moschip Tech.,223.25,426.11,4209.33,0.0,0.87,-42.76,75.42,40.11,6.62,9.88
725,Grauer & Weil,92.72,28.73,4204.0,0.42,29.17,31.22,333.12,1.82,26.09,146.28
726,Gopal Snacks,337.2,42.19,4201.65,0.0,26.11,-4.15,358.73,8.04,32.0,99.57
727,Ashiana Housing,416.2,50.21,4183.86,0.11,17.38,67.44,289.67,159.86,11.8,83.4
728,DDev Plastiks,403.9,23.1,4179.48,0.26,61.53,27.42,597.26,-10.49,41.94,181.67
729,Prem. Explosives,3870.0,148.01,4161.13,0.05,6.63,183.33,86.79,65.88,17.96,28.12
730,Indian Metals,770.5,11.15,4157.18,1.96,63.57,-6.53,700.56,10.0,24.19,372.39
731,Neogen Chemicals,1574.95,116.51,4155.01,0.19,16.93,18.31,199.65,-2.09,9.38,35.65
732,Shanthi Gears,541.6,50.5,4154.9,0.92,25.68,31.9,153.64,24.51,33.86,82.25
733,Imagica. Enter.,76.52,122.6,4149.84,0.0,4.84,-96.91,56.63,5.08,3.4,33.85
734,WPIL,4241.15,30.92,4142.32,0.48,65.84,19.94,591.41,13.64,20.47,134.09
735,Muthoot Microfin,242.25,9.17,4130.19,0.0,119.76,26.65,646.81,45.73,14.95,449.58
736,Shilchar Tech.,5397.75,44.84,4116.78,0.09,25.02,53.69,105.43,10.99,74.63,91.89
737,DCX Systems,366.7,59.86,4084.46,0.0,25.94,-36.87,746.19,46.15,9.25,68.1
738,Skipper,373.55,54.39,4060.35,0.03,23.9,14.52,1153.51,75.48,20.13,74.68
739,Hinduja Global,867.0,30.74,4033.26,1.76,87.92,247.24,1098.71,2.7,3.02,131.17
740,Medi Assist Ser.,573.0,47.77,4028.72,0.0,25.52,48.14,166.79,22.63,23.54,84.37
741,Hathway Cable,22.57,40.31,3995.12,0.0,34.57,413.42,493.37,7.35,3.36,99.3
742,Exicom Tele-Sys.,329.35,59.92,3979.34,0.0,30.99,56.28,297.54,60.42,24.69,66.43
743,Borosil,346.75,60.3,3973.15,0.0,5.08,61.27,228.88,29.65,11.17,65.87
744,The Anup Enginee,1990.25,38.28,3960.79,0.39,43.03,121.01,156.92,8.84,23.89,103.48
745,Fineotex Chem,357.4,32.96,3958.72,0.32,30.48,16.62,153.02,11.13,38.68,119.81
746,Sharda Cropchem,435.0,123.1,3924.63,1.36,143.49,-27.84,1312.05,-11.46,3.36,31.88
747,Greenpanel Inds.,320.0,27.49,3924.05,0.48,29.81,-56.75,396.6,-10.15,12.89,142.84
748,L G Balakrishnan,1248.35,14.74,3918.89,1.27,67.82,31.74,606.96,16.05,22.74,266.32
749,Sunflag Iron,217.4,27.29,3917.94,0.0,42.96,8.21,919.03,9.8,5.65,143.55
750,NDR INVIT Trust,101.4,212.05,3903.9,,,,,,,18.41
751,Cartrade Tech,828.75,66.08,3885.8,0.0,24.97,41.13,145.28,51.55,4.79,58.78
