,name,cmp,p/e,mar_cap,div_yld_%,np_qtr,qtr_profit_%,sales_qtr,qtr_saeles_%,roce_%,pat_ann
298,Natco Pharma,1208.1,15.58,21638.27,0.75,386.3,40.07,1068.3,18.98,30.05,1388.3
299,BASF India,4970.0,38.18,21513.14,0.3,161.51,127.0,3359.97,2.54,25.04,563.35
300,Cyient,1919.0,29.24,21284.79,1.59,196.9,7.82,1860.8,6.25,21.88,727.58
301,Garden Reach Sh.,1849.7,59.21,21188.6,0.46,111.6,101.81,1015.73,68.96,28.42,357.27
302,Schneider Elect.,883.2,120.49,21117.38,0.0,3.28,-92.96,471.75,14.92,33.07,175.12
303,Waaree Renewab.,2023.4,142.34,21073.6,0.01,54.19,341.65,273.25,344.38,103.31,148.04
304,Piramal Pharma,156.4,1320.68,20734.66,0.07,101.27,129.22,2552.36,17.97,5.52,15.7
305,Swan Energy,661.4,68.87,20732.03,0.02,55.59,378.24,1397.91,49.8,8.28,301.17
306,Relaxo Footwear,832.8,103.4,20731.66,0.3,61.39,-3.02,747.21,-2.32,13.63,200.47
307,The Ramco Cement,875.4,58.04,20695.75,0.23,128.56,-14.63,2678.24,4.11,8.13,356.49
308,Finolex Inds.,332.0,45.24,20599.87,0.45,161.43,1.95,1235.42,8.27,11.51,455.3
309,Sobha,2155.1,416.19,20440.26,0.13,7.03,-85.53,762.86,-36.95,7.12,49.11
310,IIFL Finance,481.0,11.56,20391.57,0.8,430.63,-9.53,2853.57,30.46,11.8,1763.54
311,Piramal Enterp.,900.15,50.38,20291.76,1.09,137.09,-604.78,2473.29,16.02,3.92,403.06
312,NCC,322.2,27.64,20229.16,0.66,238.74,29.54,6484.88,31.03,22.14,732.48
313,Mindspace Busine,339.96,37.05,20160.24,,127.1,1460.29,619.4,8.72,6.52,543.97
314,Titagarh Rail,1495.2,69.87,20136.37,0.03,78.95,69.02,1052.41,8.03,24.88,288.43
315,Castrol India,202.8,22.89,20067.26,3.68,216.24,6.79,1325.24,2.42,56.72,852.53
316,Nexus Select,132.07,33.42,20008.62,,146.36,5061.36,541.77,,,598.55
317,CESC,150.75,14.51,20002.99,2.97,415.0,-7.62,3387.0,9.19,11.18,1376.0
318,Multi Comm. Exc.,3916.0,240.28,19971.67,0.48,87.87,1512.29,181.14,35.43,7.15,83.11
319,R R Kabel,1764.0,66.95,19901.29,0.34,78.47,21.43,1754.07,15.66,19.96,297.02
320,Trident,39.04,56.97,19895.06,0.9,59.01,-56.37,1682.26,6.93,10.48,349.37
321,PTC Industries,13735.1,469.8,19834.73,0.0,14.72,60.0,72.41,16.36,10.9,42.22
322,SignatureGlobal,1400.6,1216.35,19679.95,0.0,41.25,441.52,694.36,-1.46,1.6,16.18
323,Vinati Organics,1907.7,60.63,19607.74,0.37,104.49,-0.17,550.31,5.98,18.6,323.39
324,BEML Ltd,4702.25,69.42,19580.1,0.19,256.8,62.85,1513.65,9.06,15.18,281.77
325,Aditya AMC,673.4,24.82,19400.56,1.49,208.38,53.71,365.57,23.1,34.88,780.36
326,I D F C,120.85,18.51,19335.82,0.0,347.85,454.55,9.77,-81.43,8.49,1045.58
327,Kirloskar Oil,1325.5,42.59,19219.43,0.37,146.81,71.41,1660.02,19.96,15.2,450.99
328,Cello World,900.8,57.72,19117.73,0.0,96.12,,512.47,,36.56,331.06
329,Blue Dart Expres,7999.6,63.07,18983.04,0.31,77.78,12.01,1322.87,8.74,19.86,301.01
330,Suven Pharma,745.15,63.19,18968.84,0.14,53.37,-56.95,252.93,-31.52,21.07,300.28
331,Kalpataru Proj.,1165.1,37.2,18926.57,0.58,169.0,79.13,5971.0,22.31,13.85,510.0
332,Birlasoft Ltd,684.25,30.24,18890.76,0.51,180.08,60.54,1362.55,11.1,30.06,623.76
333,Poly Medicure,1959.4,72.79,18804.63,0.15,68.36,16.24,378.07,23.21,23.43,258.26
334,Shyam Metalics,672.65,18.27,18775.84,0.28,219.94,-14.72,3606.2,5.2,10.94,1029.0
335,Bata India,1458.4,64.27,18739.92,0.83,63.65,-3.0,797.87,2.48,18.26,291.57
336,Atul,6284.4,57.33,18519.97,0.32,58.79,-36.66,1212.15,1.42,9.08,323.02
337,Capri Global,223.35,65.96,18425.07,0.06,82.59,27.26,648.63,42.71,9.49,279.41
338,Bikaji Foods,731.8,67.89,18322.92,0.14,116.11,216.12,606.21,32.29,29.6,269.73
339,Triveni Turbine,574.2,67.8,18252.49,0.22,76.2,36.86,458.05,23.88,41.68,269.14
340,Authum Invest,1073.0,4.29,18224.33,0.0,1537.12,3715.14,1338.56,1753.16,52.58,4227.25
341,Himadri Special,365.05,43.92,17986.71,0.14,115.18,51.11,1176.95,14.39,19.11,409.89
